Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x07_Odd_Even","PinHeader_2x07_P2.00mm_Vertical_SMD",4.000000,-7.000000,180.000000,bottom
"J2","Conn_02x07_Odd_Even","PinHeader_2x07_P2.00mm_Vertical_SMD",23.000000,-7.000000,180.000000,bottom
