Designator,Mid X,Mid Y,,Layer,Rotation
C1,8,-1,,top,0
C2,8.5,-3,,top,0
C3,14.5,-0.5,,top,180
C5,16.5,-9.95,,top,90
C7,10.48,-3,,top,0
C8,14.5,-1.5,,top,0
C9,17.204121,-7.015657,,top,90
D1,21.5,-1.5,,top,0
L1,20.5,-8,,top,0
R2,15,-11,,top,90
R3,15,-9,,top,90
R4,8.5,-6,,top,0
R5,8.5,-7,,top,180
R6,8.49,-5,,top,180
R7,11,-8.5,,top,180
R8,15,-3,,top,-90
U1,13.04,-5.97,,top,0
